"","COUNTRY","YEAR","FUELTYPE","PU_USE"
"1","Belgium",2016,"LWR","N/A"
"2","Belgium",2017,"LWR","N/A"
"3","Belgium",2018,"LWR","N/A"
"4","Belgium",2020,"LWR","N/A"
"5","Belgium",2025,"LWR","N/A"
"6","Belgium",2030,"LWR","N/A"
"7","Belgium",2035,"LWR","N/A"
"8","France",2016,"LWR","10"
"9","France",2016,"FBR","0"
"10","France",2017,"LWR","10"
"11","France",2017,"FBR","0"
"12","France",2018,"LWR","11"
"13","France",2018,"FBR","0"
"14","France",2020,"LWR","11"
"15","France",2020,"FBR","1"
"16","France",2025,"LWR","11"
"17","France",2025,"FBR","1"
"18","France",2030,"LWR","11"
"19","France",2030,"FBR","1"
"20","France",2035,"LWR","11"
"21","France",2035,"FBR","1"
"22","Germany",2016,"LWR","0.4"
"23","Germany",2017,"LWR","0"
"24","Germany",2018,"LWR","0"
"25","Germany",2020,"LWR","0"
"26","Germany",2025,"LWR","0"
"27","Germany",2030,"LWR","0"
"28","Germany",2035,"LWR","0"
"29","Japan",2016,"LWR","1"
"30","Japan",2017,"LWR","0"
"31","Japan",2018,"LWR","N/A"
"32","Japan",2020,"LWR","N/A"
"33","Japan",2025,"LWR","N/A"
"34","Japan",2030,"LWR","N/A"
"35","Japan",2035,"LWR","N/A"
"36","Netherlands",2016,"LWR","0.3"
"37","Netherlands",2017,"LWR","0.3"
"38","Netherlands",2018,"LWR","0.3"
"39","Netherlands",2020,"LWR","0.3"
"40","Netherlands",2025,"LWR","0.3"
"41","Netherlands",2030,"LWR","0"
"42","Netherlands",2035,"LWR","0"
"43","Russia",2016,"LWR","0.1"
"44","Russia",2016,"FBR","0.4"
"45","Russia",2017,"LWR","0.1"
"46","Russia",2017,"FBR","0.4"
"47","Russia",2018,"LWR","0.1"
"48","Russia",2018,"FBR","0.4"
"49","Russia",2020,"LWR","0.1"
"50","Russia",2020,"FBR","3"
"51","Russia",2025,"LWR","1"
"52","Russia",2025,"FBR","3"
"53","Russia",2030,"LWR","2"
"54","Russia",2030,"FBR","7"
"55","Russia",2035,"LWR","2"
"56","Russia",2035,"FBR","10"
"57","United States",2016,"LWR","0"
"58","United States",2017,"LWR","0"
"59","United States",2018,"LWR","0"
"60","United States",2020,"LWR","0"
"61","United States",2025,"LWR","0"
"62","United States",2030,"LWR","0"
"63","United States",2035,"LWR","0"
