"","COUNTRY","YEAR","TOT_RET_USE"
"1","Belgium",2015,345
"2","Belgium",2016,345
"3","Belgium",2017,345
"4","Belgium",2018,345
"5","Finland",2015,843
"6","Finland",2016,843
"7","Finland",2017,843
"8","Finland",2018,843
"9","Netherlands",2015,9549
"10","Netherlands",2016,13694
"11","Netherlands",2017,19545
"12","Netherlands",2018,23526
"13","Sweden",2015,3079
"14","Sweden",2016,3279
"15","Sweden",2017,3479
"16","Sweden",2018,3679
"17","United States",2015,1940
"18","United States",2016,1940
"19","United States",2017,1940
"20","United States",2018,1940
