"","COUNTRY","YEAR","UREQS_LOW","UREQS_HIGH"
"1","Canada","2016","1760","1760"
"2","Mexico","2016","402","402"
"3","United States","2016","27066","27066"
"4","Belgium","2016","1305","1305"
"5","Czech Republic","2016","566","566"
"6","Finland","2016","433","433"
"7","France","2016","8000","8000"
"8","Germany","2016","549","549"
"9","Hungary","2016","280","280"
"10","Netherlands","2016","55","55"
"11","Slovak Republic","2016","321","321"
"12","Slovenia","2016","149","149"
"13","Spain","2016","1163","1163"
"14","Sweden","2016","1200","1200"
"15","Switzerland","2016","275","275"
"16","United Kingdom","2016","1266","1266"
"17","Japan","2016","1691","1691"
"18","Korea","2016","3400","3400"
"19","Argentina","2016","122","122"
"20","Romania","2016","230","230"
"21","Russia","2016","4700","4700"
"22","Canada","2016","1780","1760"
"23","Mexico","2016","0","402"
"24","United States","2016","23001","27066"
"25","Belgium","2016","955","1305"
"26","Czech Republic","2016","432","566"
"27","Finland","2016","446","433"
"28","France","2016","8300","8000"
"29","Germany","2016","1747","549"
"30","Hungary","2016","394","280"
"31","Netherlands","2016","0","55"
"32","Slovak Republic","2016","317","321"
"33","Slovenia","2016","149","149"
"34","Spain","2016","1291","1163"
"35","Sweden","2016","1200","1200"
"36","Switzerland","2016","161","275"
"37","United Kingdom","2016","1243","1266"
"38","Japan","2016","373","1691"
"39","Korea","2016","3900","3400"
"40","Argentina","2016","101","122"
"41","Romania","2016","230","230"
"42","Russia","2016","4900","4700"
"43","Canada","2016","1660","1760"
"44","Mexico","2016","220","402"
"45","United States","2016","20319","27066"
"46","Belgium","2016","885","1305"
"47","Czech Republic","2016","700","566"
"48","Finland","2016","422","433"
"49","France","2016","7500","8000"
"50","Germany","2016","NA","549"
"51","Hungary","2016","324","280"
"52","Netherlands","2016","0","55"
"53","Slovak Republic","2016","322","321"
"54","Slovenia","2016","119","149"
"55","Spain","2016","900","1163"
"56","Sweden","2016","700","1200"
"57","Switzerland","2016","273","275"
"58","United Kingdom","2016","1070","1266"
"59","Japan","2016","NA","1691"
"60","Korea","2016","3800","3400"
"61","Argentina","2016","236","122"
"62","Romania","2016","230","230"
"63","Russia","2016","5000","4700"
"64","Canada","2016","1570","1760"
"65","Mexico","2016","408","402"
"66","United States","2016","15687","27066"
"67","Belgium","2016","860","1305"
"68","Czech Republic","2016","700","566"
"69","Finland","2016","422","433"
"70","France","2016","7400","8000"
"71","Germany","2016","NA","549"
"72","Hungary","2016","354","280"
"73","Netherlands","2016","49","55"
"74","Slovak Republic","2016","629","321"
"75","Slovenia","2016","119","149"
"76","Spain","2016","1150","1163"
"77","Sweden","2016","600","1200"
"78","Switzerland","2016","235","275"
"79","United Kingdom","2016","1100","1266"
"80","Japan","2016","NA","1691"
"81","Korea","2016","4300","3400"
"82","Argentina","2016","188","122"
"83","Romania","2016","230","230"
"84","Russia","2016","5200","4700"
"85","Canada","2016","1121","1760"
"86","Mexico","2016","205","402"
"87","United States","2016","13051","27066"
"88","Belgium","2016","0","1305"
"89","Czech Republic","2016","725","566"
"90","Finland","2016","690","433"
"91","France","2016","NA","8000"
"92","Germany","2016","0","549"
"93","Hungary","2016","359","280"
"94","Netherlands","2016","33","55"
"95","Slovak Republic","2016","487","321"
"96","Slovenia","2016","119","149"
"97","Spain","2016","1150","1163"
"98","Sweden","2016","600","1200"
"99","Switzerland","2016","320","275"
"100","United Kingdom","2016","1847","1266"
"101","Japan","2016","NA","1691"
"102","Korea","2016","4100","3400"
"103","Argentina","2016","199","122"
"104","Romania","2016","230","230"
"105","Russia","2016","5600","4700"
"106","Canada","2016","1440","1760"
"107","Mexico","2016","203","402"
"108","United States","2016","14183","27066"
"109","Belgium","2016","0","1305"
"110","Czech Republic","2016","725","566"
"111","Finland","2016","510","433"
"112","France","2016","NA","8000"
"113","Germany","2016","0","549"
"114","Hungary","2016","815","280"
"115","Netherlands","2016","65","55"
"116","Slovak Republic","2016","496","321"
"117","Slovenia","2016","119","149"
"118","Spain","2016","NA","1163"
"119","Sweden","2016","600","1200"
"120","Switzerland","2016","320","275"
"121","United Kingdom","2016","2110","1266"
"122","Japan","2016","NA","1691"
"123","Korea","2016","3400","3400"
"124","Argentina","2016","199","122"
"125","Romania","2016","460","230"
"126","Russia","2016","6700","4700"
"127","Canada","2016","1560","1760"
"128","Mexico","2016","396","402"
"129","United States","2016","13448","27066"
"130","Belgium","2016","0","1305"
"131","Czech Republic","2016","725","566"
"132","Finland","2016","510","433"
"133","France","2016","NA","8000"
"134","Germany","2016","0","549"
"135","Hungary","2016","613","280"
"136","Netherlands","2016","0","55"
"137","Slovak Republic","2016","493","321"
"138","Slovenia","2016","119","149"
"139","Spain","2016","NA","1163"
"140","Sweden","2016","600","1200"
"141","Switzerland","2016","170","275"
"142","United Kingdom","2016","1456","1266"
"143","Japan","2016","NA","1691"
"144","Korea","2016","3100","3400"
"145","Argentina","2016","199","122"
"146","Romania","2016","460","230"
"147","Russia","2016","6400","4700"
"148","Canada","2017","1760","1780"
"149","Mexico","2017","402","0"
"150","United States","2017","27066","23001"
"151","Belgium","2017","1305","955"
"152","Czech Republic","2017","566","432"
"153","Finland","2017","433","446"
"154","France","2017","8000","8300"
"155","Germany","2017","549","1747"
"156","Hungary","2017","280","394"
"157","Netherlands","2017","55","0"
"158","Slovak Republic","2017","321","317"
"159","Slovenia","2017","149","149"
"160","Spain","2017","1163","1291"
"161","Sweden","2017","1200","1200"
"162","Switzerland","2017","275","161"
"163","United Kingdom","2017","1266","1243"
"164","Japan","2017","1691","373"
"165","Korea","2017","3400","3900"
"166","Argentina","2017","122","101"
"167","Romania","2017","230","230"
"168","Russia","2017","4700","4900"
"169","Canada","2017","1780","1780"
"170","Mexico","2017","0","0"
"171","United States","2017","23001","23001"
"172","Belgium","2017","955","955"
"173","Czech Republic","2017","432","432"
"174","Finland","2017","446","446"
"175","France","2017","8300","8300"
"176","Germany","2017","1747","1747"
"177","Hungary","2017","394","394"
"178","Netherlands","2017","0","0"
"179","Slovak Republic","2017","317","317"
"180","Slovenia","2017","149","149"
"181","Spain","2017","1291","1291"
"182","Sweden","2017","1200","1200"
"183","Switzerland","2017","161","161"
"184","United Kingdom","2017","1243","1243"
"185","Japan","2017","373","373"
"186","Korea","2017","3900","3900"
"187","Argentina","2017","101","101"
"188","Romania","2017","230","230"
"189","Russia","2017","4900","4900"
"190","Canada","2017","1660","1780"
"191","Mexico","2017","220","0"
"192","United States","2017","20319","23001"
"193","Belgium","2017","885","955"
"194","Czech Republic","2017","700","432"
"195","Finland","2017","422","446"
"196","France","2017","7500","8300"
"197","Germany","2017","NA","1747"
"198","Hungary","2017","324","394"
"199","Netherlands","2017","0","0"
"200","Slovak Republic","2017","322","317"
"201","Slovenia","2017","119","149"
"202","Spain","2017","900","1291"
"203","Sweden","2017","700","1200"
"204","Switzerland","2017","273","161"
"205","United Kingdom","2017","1070","1243"
"206","Japan","2017","NA","373"
