"","COUNTRY","YEAR","Metal U","UF6","UO2"
"1","Argentina","2016",NA,"60","150"
"2","Argentina","2017",NA,"60","150"
"3","Argentina","2018",NA,"60","150"
"4","Argentina","2020",NA,"60","230"
"5","Argentina","2025",NA,"60","230"
"6","Argentina","2030",NA,"NA","230"
"7","Argentina","2035",NA,"NA","230"
"8","Canada","2016","0","8400","8400"
"9","Canada","2017","0","7900","7900"
"10","Canada","2018","2000","12500","2800"
"11","Canada","2020","2000","12500","2800"
"12","Canada","2025","2000","12500","2800"
"13","Canada","2030","2000","12500","2800"
"14","Canada","2035","2000","12500","2800"
"15","France","2016",NA,"14000",NA
"16","France","2017",NA,"14000",NA
"17","France","2018",NA,"14000",NA
"18","France","2020",NA,"15000",NA
"19","France","2025",NA,"15000",NA
"20","France","2030",NA,"15000",NA
"21","France","2035",NA,"15000",NA
"22","Russia","2016",NA,"15000",NA
"23","Russia","2017",NA,"15000",NA
"24","Russia","2018",NA,"NA",NA
"25","Russia","2020",NA,"NA",NA
"26","Russia","2025",NA,"NA",NA
"27","Russia","2030",NA,"NA",NA
"28","Russia","2035",NA,"NA",NA
"29","United Kingdom","2016",NA,"6000",NA
"30","United Kingdom","2017",NA,"6000",NA
"31","United Kingdom","2018",NA,"0",NA
"32","United Kingdom","2020",NA,"0",NA
"33","United Kingdom","2025",NA,"0",NA
"34","United Kingdom","2030",NA,"0",NA
"35","United Kingdom","2035",NA,"0",NA
"36","United States","2016",NA,"15000",NA
"37","United States","2017",NA,"15000",NA
"38","United States","2018",NA,"15000",NA
"39","United States","2020",NA,"15000",NA
"40","United States","2025",NA,"15000",NA
"41","United States","2030",NA,"15000",NA
"42","United States","2035",NA,"15000",NA
