"","COUNTRY","YEAR","FUELTYPE","FABREQ_LOW","FABREQ_HIGH"
"1","Argentina","2016","HWR","123","123"
"2","Argentina","2016","PWR","0","0"
"3","Argentina","2017","HWR","91","91"
"4","Argentina","2017","PWR","0","0"
"5","Argentina","2018","HWR","226","226"
"6","Argentina","2018","PWR","0","0"
"7","Argentina","2020","HWR","188","239"
"8","Argentina","2020","PWR","0","0"
"9","Argentina","2025","HWR","188","291"
"10","Argentina","2025","PWR","1.6","1.6"
"11","Argentina","2030","HWR","188","191"
"12","Argentina","2030","PWR","2","23"
"13","Argentina","2035","HWR","161","188"
"14","Argentina","2035","PWR","2","26"
"15","Belgium","2016","PWR","95","95"
"16","Belgium","2017","PWR","92","92"
"17","Belgium","2018","PWR","125","125"
"18","Belgium","2020","PWR","125","125"
"19","Belgium","2025","PWR","0","0"
"20","Belgium","2030","PWR","0","0"
"21","Belgium","2035","PWR","0","0"
"22","Canada","2016","HWR","1760","1760"
"23","Canada","2017","HWR","1780","1780"
"24","Canada","2018","HWR","1660","1660"
"25","Canada","2020","HWR","1570","1570"
"26","Canada","2025","HWR","1125","1125"
"27","Canada","2030","HWR","1440","1440"
"28","Canada","2035","HWR","1560","1560"
"29","Czech Republic","2016","PWR","86","86"
"30","Czech Republic","2017","PWR","59","59"
"31","Czech Republic","2018","PWR","81","81"
"32","Czech Republic","2020","PWR","78","78"
"33","Czech Republic","2025","PWR","80","80"
"34","Czech Republic","2030","PWR","80","80"
"35","Czech Republic","2035","PWR","146","146"
"36","Finland","2016","BWR","37","37"
"37","Finland","2016","PWR","21","21"
"38","Finland","2017","BWR","37","37"
"39","Finland","2017","PWR","21","21"
"40","Finland","2018","BWR","37","37"
"41","Finland","2018","PWR","20","20"
"42","Finland","2020","BWR","37","37"
"43","Finland","2020","PWR","52","55"
"44","Finland","2025","BWR","37","37"
"45","Finland","2025","PWR","75","78"
"46","Finland","2030","BWR","37","37"
"47","Finland","2030","PWR","75","78"
"48","Finland","2035","BWR","37","37"
"49","Finland","2035","PWR","75","78"
"50","France","2016","FBR MOX","0","0"
"51","France","2016","PWR","1050","1050"
"52","France","2016","PWR MOX","120","120"
"53","France","2017","FBR MOX","0","0"
"54","France","2017","PWR","960","960"
"55","France","2017","PWR MOX","104","104"
"56","France","2018","FBR MOX","0","0"
"57","France","2018","PWR","1050","1050"
"58","France","2018","PWR MOX","125","125"
"59","France","2020","FBR MOX","0","0"
"60","France","2020","PWR","1050","1050"
"61","France","2020","PWR MOX","125","125"
"62","France","2025","FBR MOX","0","0"
"63","France","2025","PWR","1050","1050"
"64","France","2025","PWR MOX","125","125"
"65","France","2030","FBR MOX","0","0"
"66","France","2030","PWR","1050","1050"
"67","France","2030","PWR MOX","125","125"
"68","France","2035","FBR MOX","0","0"
"69","France","2035","PWR","1050","1050"
"70","France","2035","PWR MOX","125","125"
"71","Germany","2016","LWR","68","68"
"72","Germany","2016","LWR MOX","0","0"
"73","Germany","2017","LWR","212","212"
"74","Germany","2017","LWR MOX","7","7"
"75","Germany","2018","LWR","199","199"
"76","Germany","2018","LWR MOX","0","0"
"77","Germany","2020","LWR","107","107"
"78","Germany","2020","LWR MOX","0","0"
"79","Germany","2025","LWR","0","0"
"80","Germany","2025","LWR MOX","0","0"
"81","Germany","2030","LWR","0","0"
"82","Germany","2030","LWR MOX","0","0"
"83","Germany","2035","LWR","0","0"
"84","Germany","2035","LWR MOX","0","0"
"85","Hungary","2016","PWR","38","38"
"86","Hungary","2017","PWR","38","38"
